func,n,d,n_clusters,noise,weights,centers,dataset_num,title,optimal,mean,optimal_sc,mean_sc,distortion
clustered,50,3,3.0,0.06,"[0.2, 0.2, 0.6]","[[1, 0, 0], [0, 0, 1], [0, 1, 0]]",0,"func-clustered_n-50_d-3_n_clusters-3_noise-0.06_weights-[0.2, 0.2, 0.6]_centers-[[1, 0, 0], [0, 0, 1], [0, 1, 0]]","[0.06483254363979897, 0.8882034178669684, 0.04696404114085394]","[0.21950481287411133, 0.5672719862941293, 0.21322320083175925]",39.12096393863283,49.93314236506953,1.2763781189900443
clustered,50,3,3.0,0.06,"[0.2, 0.2, 0.6]","[[1, 0, 0], [0, 0, 1], [0, 1, 0]]",0,"func-clustered_n-50_d-3_n_clusters-3_noise-0.06_weights-[0.2, 0.2, 0.6]_centers-[[1, 0, 0], [0, 0, 1], [0, 1, 0]]","[0.07159855698798391, 0.8948956561386737, 0.03350578687437593]","[0.22182039668736817, 0.5650889701443067, 0.2130906331683251]",40.173418518325825,50.58036110357253,1.2590504609534134
clustered,50,3,3.0,0.06,"[0.2, 0.2, 0.6]","[[1, 0, 0], [0, 0, 1], [0, 1, 0]]",0,"func-clustered_n-50_d-3_n_clusters-3_noise-0.06_weights-[0.2, 0.2, 0.6]_centers-[[1, 0, 0], [0, 0, 1], [0, 1, 0]]","[0.0574748688222797, 0.9055894674792844, 0.036935663765329606]","[0.22083322410153694, 0.5711182057723316, 0.20804857012613126]",39.7517374456372,50.89182232619324,1.280241458522178
clustered,50,3,3.0,0.06,"[0.2, 0.2, 0.6]","[[1, 0, 0], [0, 0, 1], [0, 1, 0]]",0,"func-clustered_n-50_d-3_n_clusters-3_noise-0.06_weights-[0.2, 0.2, 0.6]_centers-[[1, 0, 0], [0, 0, 1], [0, 1, 0]]","[0.07247321366755628, 0.8887141612761221, 0.038812625056433285]","[0.22614397662110652, 0.5649124468089844, 0.2089435765699088]",39.3459838574575,50.10858802207131,1.2735375535049407
clustered,50,3,3.0,0.06,"[0.2, 0.2, 0.6]","[[1, 0, 0], [0, 0, 1], [0, 1, 0]]",0,"func-clustered_n-50_d-3_n_clusters-3_noise-0.06_weights-[0.2, 0.2, 0.6]_centers-[[1, 0, 0], [0, 0, 1], [0, 1, 0]]","[0.0594966287772665, 0.9002447363562713, 0.040258635603141954]","[0.2204975257220028, 0.5681839273039349, 0.2113185469740623]",39.176461801460235,50.318320995560406,1.2844018750484731
clustered,50,3,3.0,0.06,"[0.2, 0.2, 0.6]","[[1, 0, 0], [0, 0, 1], [0, 1, 0]]",0,"func-clustered_n-50_d-3_n_clusters-3_noise-0.06_weights-[0.2, 0.2, 0.6]_centers-[[1, 0, 0], [0, 0, 1], [0, 1, 0]]","[0.04537257631168395, 0.9186751319277011, 0.0359522918260097]","[0.2078792666705257, 0.5802519086009784, 0.21186882472849572]",39.2388096903774,49.99869691768254,1.2742154339596035
clustered,50,3,3.0,0.06,"[0.2, 0.2, 0.6]","[[1, 0, 0], [0, 0, 1], [0, 1, 0]]",0,"func-clustered_n-50_d-3_n_clusters-3_noise-0.06_weights-[0.2, 0.2, 0.6]_centers-[[1, 0, 0], [0, 0, 1], [0, 1, 0]]","[0.04237811951596553, 0.9236184944068005, 0.0340033867373299]","[0.2112217255025921, 0.578071782217596, 0.21070649227981186]",39.15561447931042,50.52712011909069,1.2904182654517884
clustered,50,3,3.0,0.06,"[0.2, 0.2, 0.6]","[[1, 0, 0], [0, 0, 1], [0, 1, 0]]",0,"func-clustered_n-50_d-3_n_clusters-3_noise-0.06_weights-[0.2, 0.2, 0.6]_centers-[[1, 0, 0], [0, 0, 1], [0, 1, 0]]","[0.055390862498107526, 0.9079652309399758, 0.03664390671738228]","[0.2140501370232095, 0.5749050967643083, 0.21104476621248228]",39.4608086430415,50.502542052044824,1.2798151834364502
clustered,50,3,3.0,0.06,"[0.2, 0.2, 0.6]","[[1, 0, 0], [0, 0, 1], [0, 1, 0]]",0,"func-clustered_n-50_d-3_n_clusters-3_noise-0.06_weights-[0.2, 0.2, 0.6]_centers-[[1, 0, 0], [0, 0, 1], [0, 1, 0]]","[0.04523514604298186, 0.9095107371436528, 0.045254117070143866]","[0.21777919951964558, 0.5699220786730166, 0.2122987218073379]",39.83327854699922,51.125077375607454,1.2834765111108055
clustered,50,3,3.0,0.06,"[0.2, 0.2, 0.6]","[[1, 0, 0], [0, 0, 1], [0, 1, 0]]",0,"func-clustered_n-50_d-3_n_clusters-3_noise-0.06_weights-[0.2, 0.2, 0.6]_centers-[[1, 0, 0], [0, 0, 1], [0, 1, 0]]","[0.04526209621553645, 0.9087672874928606, 0.04597061762822041]","[0.20786363482139003, 0.5753979283541767, 0.21673843682443342]",39.07565135071789,50.22461471440844,1.285317402994121
